Coordinates ; Peaks X-coordinates ;  Peaks Y-coordinates                                                                                                                                                                                                                                                                                                                                                     
{11,22};[2321];[27.5192307692308]                                                                                                                                                                                                                                                                                                                                                                            
{12,22};[270,861,1586];[70.9871794871795,71.9294871794872,70.9615384615385]                                                                                                                                                                                                                                                                                                                                  
{13,22};[1611];[24.6410256410256]                                                                                                                                                                                                                                                                                                                                                                            
{18,22};[1986];[23.9038461538462]                                                                                                                                                                                                                                                                                                                                                                            
{19,22};[2373];[47.3846153846154]                                                                                                                                                                                                                                                                                                                                                                            
{20,22};[985,1855,2318];[61.5192307692308,62.6474358974359,62.3974358974359]                                                                                                                                                                                                                                                                                                                                 
{21,22};[32];[28.25]                                                                                                                                                                                                                                                                                                                                                                                         
{23,22};[675];[40.7692307692308]                                                                                                                                                                                                                                                                                                                                                                             
{24,22};[275,656];[36.5,35.8910256410256]                                                                                                                                                                                                                                                                                                                                                                    
{26,22};[12];[25.5064102564103]                                                                                                                                                                                                                                                                                                                                                                              
{28,22};[33,1112];[20.5961538461538,20.4294871794872]                                                                                                                                                                                                                                                                                                                                                        
{29,22};[1178];[26.4807692307692]                                                                                                                                                                                                                                                                                                                                                                            
{2,21};[103,1920];[36.1715976331361,34.4556213017751]                                                                                                                                                                                                                                                                                                                                                        
{3,21};[13,1912];[33.6923076923077,34.7692307692308]                                                                                                                                                                                                                                                                                                                                                         
{12,21};[2229];[41.4260355029586]                                                                                                                                                                                                                                                                                                                                                                            
{13,21};[1369];[50.0295857988166]                                                                                                                                                                                                                                                                                                                                                                            
{19,21};[1424];[34.4615384615385]                                                                                                                                                                                                                                                                                                                                                                            
{20,21};[95];[58.3550295857988]                                                                                                                                                                                                                                                                                                                                                                              
{21,21};[10];[50.3491124260355]                                                                                                                                                                                                                                                                                                                                                                              
{22,21};[1895];[41.8698224852071]                                                                                                                                                                                                                                                                                                                                                                            
{23,21};[1258];[36.5207100591716]                                                                                                                                                                                                                                                                                                                                                                            
{24,21};[854,970,1261];[51.9763313609467,51.7573964497041,51.7218934911243]                                                                                                                                                                                                                                                                                                                                  
{28,21};[25,672,1324,1914];[30.2011834319527,28.9704142011834,28.585798816568,29.301775147929]                                                                                                                                                                                                                                                                                                               
{29,21};[922,1879,2316];[28.3786982248521,30.2721893491124,29.2189349112426]                                                                                                                                                                                                                                                                                                                                 
{2,20};[9];[30.9763313609467]                                                                                                                                                                                                                                                                                                                                                                                
{5,20};[2299];[18.5917159763314]                                                                                                                                                                                                                                                                                                                                                                             
{7,20};[30];[42.7692307692308]                                                                                                                                                                                                                                                                                                                                                                               
{9,20};[860];[39.4378698224852]                                                                                                                                                                                                                                                                                                                                                                              
{10,20};[10];[39.3727810650888]                                                                                                                                                                                                                                                                                                                                                                              
{11,20};[9];[41.4497041420118]                                                                                                                                                                                                                                                                                                                                                                               
{12,20};[22];[42.8934911242604]                                                                                                                                                                                                                                                                                                                                                                              
{13,20};[556];[57.3727810650888]                                                                                                                                                                                                                                                                                                                                                                             
{14,20};[2192];[52.2958579881657]                                                                                                                                                                                                                                                                                                                                                                            
{17,20};[180];[26.6686390532544]                                                                                                                                                                                                                                                                                                                                                                             
{19,20};[488,1860];[38.0059171597633,41.0177514792899]                                                                                                                                                                                                                                                                                                                                                       
{20,20};[15];[41.9704142011834]                                                                                                                                                                                                                                                                                                                                                                              
{21,20};[377];[27.0828402366864]                                                                                                                                                                                                                                                                                                                                                                             
{22,20};[1102,1457,1877,2302];[42.2130177514793,39.3313609467456,39.1420118343195,39.3431952662722]                                                                                                                                                                                                                                                                                                          
{24,20};[855,958,1189,1255];[26.7041420118343,28.2189349112426,28.2958579881657,29.8816568047337]                                                                                                                                                                                                                                                                                                            
{27,20};[85,1855,2295];[26.2189349112426,26.4852071005917,27.0414201183432]                                                                                                                                                                                                                                                                                                                                  
{28,20};[1854,2319];[28.7337278106509,37.2130177514793]                                                                                                                                                                                                                                                                                                                                                      
{29,20};[1856,2317];[19.5384615384615,20.5680473372781]                                                                                                                                                                                                                                                                                                                                                      
{1,19};[6];[51.9807692307692]                                                                                                                                                                                                                                                                                                                                                                                
{2,19};[129,1045,2316];[43.0414201183432,44.1656804733728,44.5384615384615]                                                                                                                                                                                                                                                                                                                                  
{5,19};[151];[20.301775147929]                                                                                                                                                                                                                                                                                                                                                                               
{6,19};[106];[23.8934911242604]                                                                                                                                                                                                                                                                                                                                                                              
{7,19};[224];[27.8757396449704]                                                                                                                                                                                                                                                                                                                                                                              
{8,19};[2358];[18.6804733727811]                                                                                                                                                                                                                                                                                                                                                                             
{9,19};[2318];[20.1952662721894]                                                                                                                                                                                                                                                                                                                                                                             
{10,19};[2344];[23.5384615384615]                                                                                                                                                                                                                                                                                                                                                                            
{12,19};[758];[34.6153846153846]                                                                                                                                                                                                                                                                                                                                                                             
{13,19};[22,1432];[54.9940828402367,52.3550295857988]                                                                                                                                                                                                                                                                                                                                                        
{14,19};[1102,1286,2171,2323];[65.3786982248521,62.905325443787,64.0828402366864,67.9408284023669]                                                                                                                                                                                                                                                                                                           
{15,19};[8,1387,1600];[53.189349112426,53.8165680473373,52.0532544378698]                                                                                                                                                                                                                                                                                                                                    
{16,19};[33,1425,1615,1869];[54.5798816568047,54.7278106508876,55.0355029585799,55.8816568047337]                                                                                                                                                                                                                                                                                                            
{18,19};[118,1106];[47.1242603550296,46.0414201183432]                                                                                                                                                                                                                                                                                                                                                       
{19,19};[10,2318];[26.6745562130178,28.3372781065089]                                                                                                                                                                                                                                                                                                                                                        
{20,19};[22,2025];[36.5917159763314,35.7159763313609]                                                                                                                                                                                                                                                                                                                                                        
{23,19};[1481,1882,2130];[49.7692307692308,47.3136094674556,48.887573964497]                                                                                                                                                                                                                                                                                                                                 
{24,19};[853,962,1188,1261,2070];[33.887573964497,34.2011834319527,33.585798816568,35.1420118343195,32.4201183431953]                                                                                                                                                                                                                                                                                        
{25,19};[1425,2323];[24.2426035502959,24.4023668639053]                                                                                                                                                                                                                                                                                                                                                      
{26,19};[2120,2254,2294];[23.8402366863905,30.1242603550296,30.8994082840237]                                                                                                                                                                                                                                                                                                                                
{27,19};[1851,2127,2297];[26.810650887574,26.1952662721894,35.7396449704142]                                                                                                                                                                                                                                                                                                                                 
{28,19};[1334,2381];[17.3254437869822,18.4437869822485]                                                                                                                                                                                                                                                                                                                                                      
{29,19};[308,596];[23.1183431952663,23.4792899408284]                                                                                                                                                                                                                                                                                                                                                        
{3,18};[35];[30.3195266272189]                                                                                                                                                                                                                                                                                                                                                                               
{4,18};[102];[25.9408284023669]                                                                                                                                                                                                                                                                                                                                                                              
{8,18};[220];[20.3786982248521]                                                                                                                                                                                                                                                                                                                                                                              
{10,18};[52,814,2206];[29.2840236686391,30.0710059171598,29.5680473372781]                                                                                                                                                                                                                                                                                                                                   
{12,18};[723,994,1419,2169];[37.5502958579882,35.6213017751479,34.603550295858,35.5562130177515]                                                                                                                                                                                                                                                                                                             
{13,18};[460,1465];[28.9881656804734,27.905325443787]                                                                                                                                                                                                                                                                                                                                                        
{14,18};[1102,1280,2153,2236,2306];[64.2781065088757,61.7337278106509,63.5798816568047,63.8934911242604,64.8816568047337]                                                                                                                                                                                                                                                                                    
{15,18};[1278,2391];[37.7573964497041,36.5147928994083]                                                                                                                                                                                                                                                                                                                                                      
{17,18};[2358];[40.7810650887574]                                                                                                                                                                                                                                                                                                                                                                            
{18,18};[135];[35.1360946745562]                                                                                                                                                                                                                                                                                                                                                                             
{19,18};[93,972];[39.1242603550296,37.301775147929]                                                                                                                                                                                                                                                                                                                                                          
{20,18};[15,1259];[33.7100591715976,32.8284023668639]                                                                                                                                                                                                                                                                                                                                                        
{21,18};[100];[18.9644970414201]                                                                                                                                                                                                                                                                                                                                                                             
{22,18};[108];[33.5621301775148]                                                                                                                                                                                                                                                                                                                                                                             
{23,18};[2395];[20.1597633136095]                                                                                                                                                                                                                                                                                                                                                                            
{24,18};[227,282,943,1252,1455,1875,2107,2298];[44.0118343195266,43.7159763313609,42.4615384615385,43.2603550295858,41.7514792899408,42.792899408284,43.5798816568047,44.7218934911243]                                                                                                                                                                                                                      
{25,18};[553,1032,1250,1363,1534,1877,2292];[50.0532544378698,48.5562130177515,46.8994082840237,48.7988165680473,47.0710059171598,47.3786982248521,54.1715976331361]                                                                                                                                                                                                                                         
{26,18};[34,555,1864,2294];[27.4970414201183,29.0532544378698,28.1301775147929,28.6213017751479]                                                                                                                                                                                                                                                                                                             
{27,18};[21,1191];[21.207100591716,22.0236686390533]                                                                                                                                                                                                                                                                                                                                                         
{29,18};[577,1301];[23.4792899408284,23.5502958579882]                                                                                                                                                                                                                                                                                                                                                       
{1,17};[807];[116.339743589744]                                                                                                                                                                                                                                                                                                                                                                              
{5,17};[10];[25.0236686390533]                                                                                                                                                                                                                                                                                                                                                                               
{6,17};[2389];[20.6449704142012]                                                                                                                                                                                                                                                                                                                                                                             
{7,17};[462,1708,2201,2387];[62.2840236686391,64.3195266272189,64.2189349112426,62.7573964497041]                                                                                                                                                                                                                                                                                                            
{10,17};[21,547,2076];[35.3668639053254,39.4378698224852,34.0355029585799]                                                                                                                                                                                                                                                                                                                                   
{11,17};[9];[28.4437869822485]                                                                                                                                                                                                                                                                                                                                                                               
{12,17};[720,990];[37.3431952662722,36.7100591715976]                                                                                                                                                                                                                                                                                                                                                        
{14,17};[1311,1878,2225];[51.8520710059172,46.905325443787,48.0414201183432]                                                                                                                                                                                                                                                                                                                                 
{15,17};[53,274];[30.7396449704142,30.4437869822485]                                                                                                                                                                                                                                                                                                                                                         
{16,17};[2202];[29.9822485207101]                                                                                                                                                                                                                                                                                                                                                                            
{17,17};[384];[63.7692307692308]                                                                                                                                                                                                                                                                                                                                                                             
{18,17};[47,529,982,1447,2013];[49.2899408284024,47.9822485207101,48.3727810650888,48.1952662721894,54.4260355029586]                                                                                                                                                                                                                                                                                        
{19,17};[97,624,1475,2154];[52.5680473372781,51.1952662721894,51.603550295858,50.1775147928994]                                                                                                                                                                                                                                                                                                              
{22,17};[717];[36.8047337278106]                                                                                                                                                                                                                                                                                                                                                                             
{23,17};[832,2298];[31.2130177514793,32.5384615384615]                                                                                                                                                                                                                                                                                                                                                       
{24,17};[2316];[35.0059171597633]                                                                                                                                                                                                                                                                                                                                                                            
{25,17};[1028];[42.2426035502959]                                                                                                                                                                                                                                                                                                                                                                            
{27,17};[315,1974];[25.3786982248521,24.9408284023669]                                                                                                                                                                                                                                                                                                                                                       
{28,17};[1276,2084];[26.1360946745562,26.4497041420118]                                                                                                                                                                                                                                                                                                                                                      
{29,17};[55];[28.6863905325444]                                                                                                                                                                                                                                                                                                                                                                              
{1,16};[1032];[139.134615384615]                                                                                                                                                                                                                                                                                                                                                                             
{2,16};[145,281,1215,1364,1527,1608,1761,1807,1859,2167,2236];[114.91124260355,115.313609467456,113.757396449704,112.420118343195,113.852071005917,118.331360946746,118.520710059172,113.751479289941,118.065088757396,116.07100591716,117.485207100592]                                                                                                                                                     
{3,16};[2250];[24.8224852071006]                                                                                                                                                                                                                                                                                                                                                                             
{5,16};[7];[32.3136094674556]                                                                                                                                                                                                                                                                                                                                                                                
{6,16};[642];[22.3727810650888]                                                                                                                                                                                                                                                                                                                                                                              
{9,16};[262];[20.6094674556213]                                                                                                                                                                                                                                                                                                                                                                              
{10,16};[548];[29.8461538461538]                                                                                                                                                                                                                                                                                                                                                                             
{11,16};[202,912,1770];[41.0532544378698,40.1597633136095,42.0295857988166]                                                                                                                                                                                                                                                                                                                                  
{12,16};[540,1713];[34.6863905325444,34.4674556213018]                                                                                                                                                                                                                                                                                                                                                       
{13,16};[547,1891];[30.1065088757396,28.3076923076923]                                                                                                                                                                                                                                                                                                                                                       
{14,16};[1083,1130,1169,1199,1228,1271,1291,1302,1372,1388,1431,1444,1877];[54.0532544378698,60.9112426035503,59.2366863905325,56.9408284023669,60.7573964497041,62.9881656804734,71.2248520710059,69.8461538461538,66.3727810650888,63.2544378698225,60.9230769230769,62.1597633136095,56.3431952662722]                                                                                                    
{15,16};[665,1326];[37.2721893491124,38.810650887574]                                                                                                                                                                                                                                                                                                                                                        
{16,16};[724,2052];[48.3668639053254,47.2899408284024]                                                                                                                                                                                                                                                                                                                                                       
